symbol,entry_date,exit_date,entry_price,exit_price,contracts,strike,expiry_date,entry_iv,hold_iv,pnl,reason,scenario,family,cost
DDM,2023-08-07 09:30:00,2023-10-30 09:30:00,0.5821842301590934,0.0,8,38.09,2023-10-30 09:30:00,0.25,0.25,-465.7473841272747,EXPIRY,risk_unseen_recent_tp800,dow_30,465.7473841272747
DIG,2023-08-07 09:30:00,2023-10-30 09:30:00,1.3396000509505086,0.0,3,41.43,2023-10-30 09:30:00,0.3635618795626828,0.3635618795626828,-401.8800152851526,EXPIRY,risk_unseen_recent_tp800,energy,401.8800152851526
MVV,2023-08-07 09:30:00,2023-10-30 09:30:00,0.9295353615719382,0.0,5,60.95,2023-10-30 09:30:00,0.25,0.25,-464.76768078596905,EXPIRY,risk_unseen_recent_tp800,midcap_400,464.76768078596905
QLD,2023-08-07 09:30:00,2023-10-30 09:30:00,0.9919592712877154,0.0,5,35.87,2023-10-30 09:30:00,0.33381658379051987,0.33381658379051987,-495.9796356438577,EXPIRY,risk_unseen_recent_tp800,nasdaq_100,495.9796356438577
ROM,2023-08-07 09:30:00,2023-10-30 09:30:00,1.5379056939758797,0.0,3,47.63,2023-10-30 09:30:00,0.36290788612934155,0.36290788612934155,-461.3717081927639,EXPIRY,risk_unseen_recent_tp800,technology,461.3717081927639
RXL,2023-08-07 09:30:00,2023-10-30 09:30:00,0.7272529567668258,0.0,6,47.65,2023-10-30 09:30:00,0.25,0.25,-436.35177406009547,EXPIRY,risk_unseen_recent_tp800,healthcare,436.35177406009547
SSO,2023-08-07 09:30:00,2023-10-30 09:30:00,0.4902470629794031,0.0,10,32.08,2023-10-30 09:30:00,0.25,0.25,-490.24706297940315,EXPIRY,risk_unseen_recent_tp800,broad_market,490.24706297940315
UCC,2023-08-07 09:30:00,2023-10-30 09:30:00,1.2800702868533822,0.0,3,37.72,2023-10-30 09:30:00,0.3733564296282727,0.3733564296282727,-384.0210860560146,EXPIRY,risk_unseen_recent_tp800,consumer_discretionary,384.0210860560146
USD,2023-08-07 09:30:00,2023-10-30 09:30:00,0.8083427448030918,0.0,6,12.27,2023-10-30 09:30:00,0.5646183835283982,0.5646183835283982,-485.00564688185506,EXPIRY,risk_unseen_recent_tp800,semiconductors,485.00564688185506
UYG,2023-08-07 09:30:00,2023-10-30 09:30:00,0.7399537109460184,0.0,6,48.43,2023-10-30 09:30:00,0.25,0.25,-443.972226567611,EXPIRY,risk_unseen_recent_tp800,financials,443.972226567611
DDM,2023-08-14 09:30:00,2023-11-06 09:30:00,0.5759880898749223,0.0,8,37.73,2023-11-06 09:30:00,0.25,0.25,-460.79047189993787,EXPIRY,risk_unseen_recent_tp800,dow_30,460.79047189993787
DIG,2023-08-14 09:30:00,2023-11-06 09:30:00,0.7508215440666248,0.0,6,43.84,2023-11-06 09:30:00,0.2631153357787642,0.2631153357787642,-450.4929264399749,EXPIRY,risk_unseen_recent_tp800,energy,450.4929264399749
MVV,2023-08-14 09:30:00,2023-11-06 09:30:00,0.9020091286816196,0.0,5,59.1,2023-11-06 09:30:00,0.25,0.25,-451.0045643408098,EXPIRY,risk_unseen_recent_tp800,midcap_400,451.0045643408098
QLD,2023-08-14 09:30:00,2023-11-06 09:30:00,0.8812900032576501,0.0,5,34.89,2023-11-06 09:30:00,0.31806710341797556,0.31806710341797556,-440.645001628825,EXPIRY,risk_unseen_recent_tp800,nasdaq_100,440.645001628825
